,리뷰,평점
113,너무늦게받아서 별두개뺑로,3
128,"신발오배송왔는걸 일주일이 지난뒤에야 알았네요 배송이 겁나 느려서 지금 교환반품신청하려니 뜨지도않네요
그래서 메모남겨요
저는 좀 넉넉하게신길려고 150구매했는ㄷㅔ 한짝은140 한짝은150 이왔어요 교환하려니 재고가없다하고 얼른 반품처리해주세요 박스는 오래전 버렸어요",3
166,너무커요ㅠㅠ 당장못신겨서 아쉬워요그리고신기기도 너무 어려워요신발은 이뻐오,3
209,신발은 이쁘지요 맘에들으니샀겠지요배송은 발이고무인택배함이라고 버젖이 배송문의글 남겼는데 집앞문앞에 던져두고감배송시작하고도 택배오배송으로 하루더늦게받음,1
237,별로예요,1
274,"신발이 편하고 좋은데 에어가 금방 터지네요
나이키는 에어터지면 AS도 안되고",2
283,싸이즈 잘못왔는데 귀찮아서 그냥 신어요,3
298,상품이다른게왓네요 전화도안되고어쩌자는건지연락바로주세요,1
305,"박스는 270 신발은 255 너무 황당하네요
국제 배송 첨으로 구매해 봤는데 다 이런지",1
306,"기존에 제가 신고있던 에어맥스 싸이즈가 작아서 주문했는데
신고있던제품에 비해 퀄리티가 떨어지는듯",2
335,제품이야 뭐 어딜가든 똑같구요 문제는 배송인데 많이 오래걸리지는 않았지만 좀 걸리네요,3
338,측면 본드 자국 하고 구매후 2시간 신었는데 깔창은 너덜너덜해지구 이건 100프로 짝퉁이것 같네요 당장 반품 처리 요청해야겠네요 2주걸려 받았는데 짜증 지대로네요,1
339,넘커요 교환비가비싸서 그냥다른사람줘야겠어요,2
341,싼맛에 신겠습니다정품과 디자인이나 재질이 다른데 판매자는 정품이라고 하니  차라리 퀄 좋은 레플이라고 하시지ㅋㅋㅋ암튼 나이키 온라인 구매 첨 해봤는데 깨닫는게 많네요,3
347,배송은 해외배송치고는 빨리 왔구요  상품은 다 좋은데 역시 저렴해서 그런건지 에어부분이 불투명에 가깝네요 ㅠㅠ그 부분 빼고는 발도 편하고 만족합니다만 불투명은 쫌 충격이네요 ,3
350,해외배송인데 빨리왔어요가격은 저렴한데 퀄리티가 별로짝퉁티가  나네요,3
351,딱 가격만큼의 퀄리티네요,3
359,110정품 아닐시 반품보장 아무리 눈49904고 찾아봐도 어디하나 정품이라는 곳을 찾을수 없네요 뒤축틀리고 본드칠 다삐져나오고 딱딱하고 신발상자는 뭐 말할것도 없네요 도착하자마자 살펴보고 신어보고 버릴까 생각중 분명히 통에서인데 착감은 그냥 실내와신은듯한 느낌 개인적인 차는 있겠지만 전 별로네요,2
402,혹시나가 역시나입니다 신발은 역시 매장에서 직접보고 사는걸로합시다싼게비지떡입니다 물품개봉하자마자헐짝퉁냄새가 너무납니다작업신발로 그냥대충신으신다면그래도 비추니다배송은 무지빠르네요,1
409,음  이가격에 정품이라고 믿는 분은 없으시라 믿고요 상품을 받아보니 웃음이 먼저나오더라구요 백화점에서 산거랑 비교해보니  넘차이가 나네요 마감처리도  짝퉁이라고 알면서 사도 이건 아닌듯 싶어요 참고 하셔서 구매하세요박스도 웃겨요,2
410,제봉 마감 상태가 그냥 그러네요,3
420,같은 사이즈 2개신발을 주문했지만크기가 다릅니다 착용시 틀어진 느낌 이건 진품아니네요사진올려드릴께요,1
432,역시나 정품이 아니네요 그래도 싸서 신을랍니다,2
444,올블랙인데 신발끈 시작되는 부분 좌우로 흰줄이 있습니다에어부분이 까맣게 된거 보니 정품이 아닌가 싶은 생각이 드네요 왜냐면 같은 모델을 신은 사람이 같은 사무실에 2명 있거든요 정품은 에어부분이 어둡긴해도 에어가 분명히 보입니다 하지만 제가 구매한 상품은 에어가 전혀 보이지않게 까맣게 되어있어요 싼 가격에 산 건 제가 선택한 거니ㅠㅠ 어쩔수없네요 구매하실 분들은 참고하세요,3
452,가품만 아니면 가격대비 좋은뎅찝찝함은 어쩔수 없네요,3
492,정품이라지만 짝퉁티 너무난다,1
