,평점,리뷰
0,5,치수도 맞고 가성비 굿~^^ 만족합니다.
1,5,화면과 같고. 사이즈는 정사이즈요.  서있는 직업이다보니 230사이즈신는데 235에 깔창까니 좀여유있고 좋네요.
2,5,좋아요
3,5,신발은 편하고 좋은데 오른쪽 신발 앞에 스크레치가 있습니다 크게 신경쓰는편이 아니라 그냥 신지만사람마다 다르니 검수에 좀더 신경써주세요
4,5,헐 이게신발 종이짝이네  기짜아니라고 한넘들 병신 속았다
5,5,그래서 2개 구입했어요
6,1,별로예요
7,5,"좋습니다!
배송도 생각보다 빠르고"
8,5,가성비 최고 잘 신고 다닐게요
9,4,"저렴히 잘 샀네요.
좋습니다~~"
10,5,좋아요~~~~~~~~~
11,4,"국제우편이다보니 생각보다 늦게 오네요
그래도 제품은 좋아서 마음에 들어요"
12,5,한번 사서 신어 보았더니 너무 좋아서 재구매 했습니다 싸게 구입하고 너무 좋아요
13,4,상품이너무좋아요 재구매할거에요
14,4,예상보다 오래 걸렸지만 가성비 만족합니다.
15,5,"택배기사님 배송감사합니다
딱입니다
기다린 보람 채웁니당~^^~"
16,3,잘구매한거  같아요  생각보다싸이즈가  크네요
17,5,굿잡ㄷㄷㄷㄷㄷㄷㄷ÷ㄱㄷㄷㄷㄷㄷ
18,5,역시 이름값 하네요. 좋습니다.
19,5,엄청 구하기 힘들었는데 딱 롯데온에서 판매하고 있어서 얼른 샀어요! 며칠 신어보니 엄청 가볍고 편해서 좋아요. 이거신고 남해여행 갔다왔는데 친구들이 다 이쁘다해요
20,5,나이키 정품 저렴하게 구매햇어요~ 신랑이 똑같은거 신어서 예뻐 따라 구매햇는데~ 저는 더 싸게 잘 삿네요. 배송도 빠르고 꼼꼼하게 잘 왓어요!감사합니다
21,5,"재구매각 나이키 에어맥스 2017 버전 운동화 
신으려고 구매했는데 배송도 적절했고,
제품 이상 없이 잘 왔어요. 
신어보니 언제나 그렇듯 잘 맞아요. 
나이키 에어맥스 매니아 답게 이 제품만 고집해요."
22,5,다음에도 구매할게요.
23,4,딱 예상대로왔어요 255~260신는데 265시켰는데 딱잇네요 ㅎ
24,5,해외직구 치고는 배송도 빠르고 10일 안에 도착한거 같네요. 정품인거 같고 가성비 최고네요. 정사이즈고 완전 만족입니다.
25,5,제품이 Good!!
26,4,맘에들어요 편해요 강추합니다
27,4,"8월1일에 주문했는데, 8월14일 오전에 도착했어요...해외배송이니까 그러려니 합니다...
신발 안쪽에 Made in Vietnam 상표가 붙어있네요...

신어보니까 가볍고 좋네요...
평소에 사이즈 270 신어서 270으로 주문했는데, 약간 빡빡한 느낌입니다...새 신발이라서 그럴 지도 모르겠지만,,,약간 넉넉한 사이즈를 좋아하는 사람들은 5mm 플러스 해서 주문하면 좋을 거 같네요..."
28,5,해외직구라 좀 시간이 걸렸지만 딱 맘에 들어요
29,4,가격대비 좋습니다 정품 이겠죠?
30,5,아버지가 엄청 좋아하시네요   굿~~
31,5,감사합니다 감사합니다.
32,5,많이 할인된 가격으로 좋은 제품 구입 했어요
33,5,배송 잘 받았습니다. 좋은 물건 감사합니다.
34,3,편안한 착화감에 에어쿠션덕분에 오래조깅해도 발의 피로도가 던함
35,5,"주변분이 대리구매해 달래서 구매해요..
가격이 좀더 다운되면 좋을텐데....
그래도 좋습니다.
감사요~"
36,3,제품은 맘에드나 깔창이 불량이라 다른깔창 깔았어요
37,4,감사합니다. 잘 받았습니다.
38,5,조아요 ㅋㅋ
39,5,좋아요좋아요좋아요좋아요
40,4,보름만에 받았네요...배송도 길었는데 상자가 찌러져서 와서 더 짜증났지만 신발은 괜찮네요. 신랑이 저녁에 와서 신어봐야 알겠지만 맘에 들었음 좋겠어요.
41,5,"배송 빠르네요, 신발  신어보니  편하고 좋아요"
42,5,늦어지는 줄 알았는데 주말 빼고 1주일 만에 왔어요 가볍고 디자인도 예쁘고 매우 마음에 들어요^^
43,2,"신발이 편하고 좋은데.. 에어가 금방 터지네요
나이키는 에어터지면 A/S도 안되고.."
44,4,"배송은 3일 걸렷지만 사이즈나 색상은 잘 왓네요
작게 나온편이라 한치수 크게 시키니 딱 맞고 좋으네요"
45,5,빠른배송에 상품도 가격도 만족합니다
46,4,감사합니다 감사합니다  ㅎㅎ
47,5,신던 신발인데 너무 편해서 재구매 했습니다.디자인도 무난합니다~
48,5,빠른배송에 상품도 가격도 만족합니다
49,4,이뻐요..
50,4,평점만 제공되는 상품평입니다.
51,5,가상비 아주 좋은 제품입니다. 단 주문해서 받아보실려면 해외에서 넘어오기에 시간이 걸리는거 제외하고 만족합니다.
